,machine_cpu_uti,machine_memory_uti,cluster_cpu,cluster_memory,machine,time(s)
3544,0.337014881,0.134758204,0.208669204,0.071147478,k8s-worker5,637520
3545,0.241324405,0.069172682,0.242075296,0.076244851,k8s-worker3,637644
3546,0.33833631,0.137685666,0.24058178,0.081087508,k8s-worker5,637644
3547,0.241388889,0.072763429,0.293601478,0.098588707,k8s-worker3,637767
3548,0.334739583,0.13737412,0.295992744,0.101281857,k8s-worker5,637767
3549,0.24183631,0.073090063,0.211417637,0.088145879,k8s-worker3,637890
3550,0.246345238,0.081781173,0.223003855,0.087474278,k8s-worker5,637890
3551,0.240485119,0.07378464,0.201314412,0.077721462,k8s-worker3,638014
3552,0.201133929,0.053317641,0.190129674,0.058132259,k8s-worker5,638014
3553,0.240544872,0.074826105,0.250043036,0.103343945,k8s-worker3,638133
3554,0.202461538,0.051953604,0.271722204,0.086442749,k8s-worker5,638133
3555,0.241282051,0.076428402,0.338866533,0.129973414,k8s-worker3,638252
3556,0.271923077,0.061771174,0.336717942,0.116383111,k8s-worker5,638252
3557,0.238958333,0.071298709,0.406332962,0.13768621,k8s-worker3,638372
3558,0.519928571,0.097905585,0.392656009,0.136101558,k8s-worker5,638372
3559,0.241032051,0.078224095,0.399050569,0.132783138,k8s-worker3,638494
3560,0.527307692,0.107542547,0.413129243,0.126597636,k8s-worker5,638494
3561,0.241395833,0.078807209,0.409378998,0.131910228,k8s-worker3,638613
3562,0.52259375,0.11271938,0.405803919,0.149173173,k8s-worker5,638613
3563,0.1445,0.053897939,0.198190638,0.078060135,k8s-worker0,649654
3564,0.20975,0.064773438,0.205205119,0.102527219,k8s-worker4,649654
3565,0.230102564,0.071595936,0.191568119,0.08269439,k8s-worker0,649768
3566,0.264826923,0.065317909,0.210459914,0.10391208,k8s-worker4,649768
3567,0.243505952,0.076478349,0.222540797,0.089168269,k8s-worker0,649891
3568,0.285464286,0.069924665,0.223532049,0.087036197,k8s-worker4,649891
3569,0.243048611,0.07823495,0.263442978,0.109655421,k8s-worker0,650010
3570,0.276109375,0.072708333,0.26826523,0.114817406,k8s-worker4,650010
3571,0.242943452,0.080060315,0.358025447,0.155845637,k8s-worker0,650130
3572,0.272245536,0.073241629,0.35691615,0.154707272,k8s-worker4,650130
3573,0.240717262,0.080789769,0.405773017,0.157124687,k8s-worker0,650250
3574,0.285410714,0.068582589,0.410007083,0.146356661,k8s-worker4,650250
3575,0.241846154,0.08116497,0.385657899,0.167299277,k8s-worker0,650368
3576,0.262677885,0.075266827,0.386904794,0.174195589,k8s-worker4,650368
3577,0.242574405,0.080450644,0.374714715,0.161947839,k8s-worker0,650487
3578,0.254084821,0.076640625,0.382544157,0.17197205,k8s-worker4,650487
3579,0.243362179,0.082024857,0.405982336,0.175420106,k8s-worker0,650606
3580,0.274370192,0.077115385,0.402974203,0.192065115,k8s-worker4,650606
3581,0.243977564,0.083161249,0.385318245,0.186364735,k8s-worker0,650724
3582,0.283389423,0.077197115,0.398280084,0.173240825,k8s-worker4,650724
3583,0.241826389,0.085232782,0.412730666,0.17439246,k8s-worker0,650841
3584,0.270348958,0.079173177,0.397372543,0.199420647,k8s-worker4,650841
3585,0.240901786,0.085024755,0.381751412,0.176688111,k8s-worker0,650961
3586,0.278727679,0.078646763,0.393139018,0.193002712,k8s-worker4,650961
3587,0.241247024,0.085501164,0.407049427,0.179447133,k8s-worker0,651080
3588,0.284754464,0.079374442,0.398667018,0.192011817,k8s-worker4,651080
3589,0.243804487,0.086268349,0.393340242,0.190743639,k8s-worker0,651196
3590,0.289158654,0.073330529,0.398193249,0.198798526,k8s-worker4,651196
3591,0.275958333,0.051051363,0.356524682,0.113010433,k8s-worker3,703898
3592,0.412196429,0.076623053,0.397671652,0.118145317,k8s-worker3,703953
3593,0.483791667,0.081360123,0.412803609,0.126403739,k8s-worker3,703997
3594,0.485569444,0.088782344,0.407358028,0.123227581,k8s-worker3,704040
3595,0.492576389,0.089585757,0.395188441,0.143053873,k8s-worker3,704082
3596,0.484944444,0.094037428,0.409153088,0.137642378,k8s-worker3,704123
3597,0.481191667,0.09587766,0.399757686,0.133204404,k8s-worker3,704167
3598,0.476508333,0.09394739,0.404857657,0.131886146,k8s-worker3,704209
3599,0.487791667,0.09833361,0.404366347,0.133466117,k8s-worker3,704252
3600,0.478033333,0.096764877,0.387437991,0.139682092,k8s-worker3,704294
3601,0.471131944,0.09727359,0.388623918,0.137285013,k8s-worker3,704337
3602,0.487,0.090843168,0.404507865,0.133047616,k8s-worker3,704380
3603,0.485283333,0.097109791,0.40986433,0.15219984,k8s-worker3,704423
3604,0.492733333,0.0953686,0.412659081,0.15171664,k8s-worker3,704465
3605,0.350479167,0.154421543,0.360712838,0.145409907,k8s-worker2,710674
3606,0.574979167,0.172893118,0.375115497,0.14097238,k8s-worker2,710709
3607,0.668802083,0.182923662,0.418198331,0.14525941,k8s-worker2,710739
3608,0.644833333,0.185120928,0.404648007,0.145023281,k8s-worker2,710771
3609,0.6350625,0.182154879,0.385004089,0.126854424,k8s-worker2,710802
3610,0.6845625,0.184105406,0.427965222,0.136151775,k8s-worker2,710834
3611,0.653991667,0.186193068,0.41422908,0.126527736,k8s-worker2,710866
3612,0.660177083,0.18291587,0.431268976,0.13671207,k8s-worker2,710897
3613,0.652183333,0.183693484,0.383061424,0.13497817,k8s-worker2,710928
3614,0.637572917,0.185217025,0.337309012,0.124908656,k8s-worker2,710960
3615,0.65428125,0.189445333,0.343376988,0.108843156,k8s-worker2,710991
3616,0.6541875,0.192691884,0.328953657,0.09907944,k8s-worker2,711022
3617,0.637895833,0.192665912,0.320935375,0.10721065,k8s-worker2,711054
3618,0.65515625,0.189993351,0.334865929,0.121272936,k8s-worker2,711085
3619,0.304,0.133820229,0.328979229,0.130429382,k8s-worker5,706338
3620,0.497798611,0.15321296,0.379084573,0.116783583,k8s-worker5,706389
3621,0.571141667,0.150016622,0.376990502,0.118917362,k8s-worker5,706433
3622,0.569433333,0.158290392,0.394864895,0.108285122,k8s-worker5,706477
3623,0.590027778,0.163953416,0.37698432,0.120464998,k8s-worker5,706522
3624,0.584986111,0.161169174,0.41019676,0.135502851,k8s-worker5,706567
3625,0.575733333,0.166605718,0.439100995,0.13219728,k8s-worker5,706612
3626,0.573743056,0.168451837,0.433609098,0.111479166,k8s-worker5,706657
3627,0.600608333,0.161265791,0.456433403,0.136451928,k8s-worker5,706702
3628,0.581854167,0.163660793,0.45403749,0.11994142,k8s-worker5,706746
3629,0.58005,0.164922706,0.44672306,0.123496288,k8s-worker5,706791
3630,0.582933333,0.166325216,0.456641368,0.122905231,k8s-worker5,706836
3631,0.577833333,0.162192487,0.383326477,0.11352876,k8s-worker5,706882
3632,0.581891667,0.167609292,0.373073342,0.123401886,k8s-worker5,706928
3633,0.1885,0.081574136,0.38191494,0.130455277,k8s-worker0,706559
3634,0.390625,0.099567819,0.427078786,0.131614283,k8s-worker0,706601
3635,0.50805,0.11310256,0.437026674,0.117335857,k8s-worker0,706635
3636,0.502366667,0.113528507,0.434224785,0.123239081,k8s-worker0,706670
3637,0.515958333,0.111049701,0.438559206,0.120021673,k8s-worker0,706704
3638,0.507697917,0.111421626,0.426311811,0.129465848,k8s-worker0,706738
3639,0.512854167,0.114174701,0.439388062,0.124995305,k8s-worker0,706772
3640,0.518302083,0.106086893,0.459120349,0.13349004,k8s-worker0,706806
3641,0.51615,0.111149435,0.429890068,0.127610798,k8s-worker0,706840
3642,0.400125,0.086028403,0.404844559,0.128301264,k8s-worker0,706874
3643,0.374895833,0.081529983,0.347850635,0.116456755,k8s-worker0,706907
3644,0.3733,0.081407912,0.36154124,0.10878182,k8s-worker0,706941
3645,0.376525,0.080512384,0.339745711,0.116546626,k8s-worker0,706974
3646,0.372916667,0.081374148,0.326351335,0.115222758,k8s-worker0,707008
3647,0.171833333,0.032210979,0.17322529,0.062733195,k8s-worker5,714099
3648,0.250125,0.04019836,0.195029397,0.054203494,k8s-worker5,714141
3649,0.284258333,0.049264461,0.181493497,0.065030943,k8s-worker5,714181
3650,0.299408333,0.052322972,0.185855526,0.058731743,k8s-worker5,714226
3651,0.353225,0.053301612,0.124518212,0.069636558,k8s-worker5,714267
3652,0.353875,0.053058511,0.102333141,0.048912573,k8s-worker5,714302
3653,0.3510625,0.052277261,0.129776009,0.069062896,k8s-worker5,714336
3654,0.3462,0.055227726,0.117748453,0.048906514,k8s-worker5,714371
3655,0.343354167,0.056762695,0.121899232,0.066533648,k8s-worker5,714407
3656,0.331941667,0.057008394,0.162233322,0.071649494,k8s-worker5,714443
3657,0.317558333,0.056808926,0.217679964,0.086024136,k8s-worker5,714481
3658,0.329825,0.057315908,0.238073039,0.069109136,k8s-worker5,714518
3659,0.32984375,0.0589236,0.230702162,0.095247463,k8s-worker5,714555
3660,0.3258125,0.057980801,0.246240454,0.075760933,k8s-worker5,714594
3661,0.07740625,0.036661946,0.118509602,0.05187086,k8s-master,713928
3662,0.086708333,0.050718916,0.094938529,0.070933962,k8s-worker0,713928
3663,0.104875,0.041649352,0.098821079,0.053592369,k8s-worker2,713928
3664,0.173567708,0.063881732,0.136463957,0.075351487,k8s-worker0,713986
3665,0.173083333,0.052875925,0.144315956,0.066373185,k8s-worker2,713986
3666,0.146398438,0.043636003,0.139986944,0.072121021,k8s-master,713986
3667,0.216255952,0.065161059,0.169594567,0.059807452,k8s-worker2,714035
3668,0.19375,0.049249987,0.170745836,0.084684998,k8s-master,714035
3669,0.218458333,0.078157651,0.180123596,0.067983684,k8s-worker0,714035
3670,0.2061625,0.050666864,0.183686152,0.082276922,k8s-master,714082
3671,0.2151,0.083178191,0.169629052,0.071138917,k8s-worker0,714082
3672,0.22085,0.069163481,0.183628349,0.063020232,k8s-worker2,714082
3673,0.216895833,0.085161791,0.179273653,0.066845788,k8s-worker0,714128
3674,0.217465278,0.071827557,0.173391721,0.078911952,k8s-worker2,714128
3675,0.200885417,0.051489355,0.186510573,0.057767323,k8s-master,714128
3676,0.197025,0.073996426,0.197721624,0.073152904,k8s-worker2,714174
3677,0.1874375,0.051414654,0.198241095,0.067269415,k8s-master,714174
3678,0.204008333,0.085143783,0.195435203,0.077460967,k8s-worker0,714174
3679,0.187984375,0.044373288,0.257117135,0.071248357,k8s-master,746400
3680,0.27875,0.064084317,0.259462408,0.06941728,k8s-worker5,746400
3681,0.1385,0.055793925,0.247467453,0.074715022,k8s-worker0,746400
3682,0.187984375,0.044373288,0.273508496,0.08315481,k8s-master,746400
3683,0.1385,0.055793925,0.257423804,0.079500953,k8s-worker0,746400
3684,0.089166667,0.024466007,0.116348237,0.052469388,k8s-worker3,746228
3685,0.19865625,0.023945313,0.094084013,0.063214894,k8s-worker4,746228
3686,0.138375,0.042792138,0.112324777,0.038506942,k8s-worker2,746228
3687,0.0538125,0.019198803,0.098549057,0.043309544,k8s-worker5,746228
3688,0.299104167,0.086166057,0.280312347,0.088060497,k8s-worker3,714611
3689,0.299104167,0.086166057,0.264579796,0.099324619,k8s-worker3,714611
3690,0.2054375,0.058076289,0.265391118,0.085387765,k8s-master,714611
3691,0.487060185,0.123591718,0.285907941,0.100386524,k8s-worker3,714682
3692,0.288795139,0.067547951,0.288457169,0.100565757,k8s-master,714682
3693,0.487060185,0.123591718,0.304336036,0.08643318,k8s-worker3,714682
3694,0.288425781,0.076540518,0.304640371,0.114723852,k8s-master,714740
3695,0.585484375,0.148201151,0.28967601,0.110025858,k8s-worker3,714740
3696,0.585484375,0.148201151,0.297747282,0.098811269,k8s-worker3,714740
3697,0.583690476,0.15633608,0.280979671,0.098816876,k8s-worker3,714798
3698,0.583690476,0.15633608,0.283250604,0.091198674,k8s-worker3,714798
3699,0.279848214,0.079618468,0.298006111,0.094303129,k8s-master,714798
3700,0.584428571,0.139393166,0.279564536,0.103028847,k8s-worker3,714857
3701,0.293236607,0.08102245,0.30266303,0.096330661,k8s-master,714857
3702,0.584428571,0.139393166,0.297453353,0.100212077,k8s-worker3,714857
3703,0.289245536,0.082786043,0.335742218,0.106105025,k8s-master,714914
3704,0.58260119,0.165012348,0.342767632,0.115098663,k8s-worker3,714914
3705,0.58260119,0.165012348,0.352037041,0.126201219,k8s-worker3,714914
3706,0.579569444,0.166933317,0.367277239,0.111854947,k8s-worker3,714971
3707,0.579569444,0.166933317,0.382003765,0.112201459,k8s-worker3,714971
3708,0.294401042,0.083908507,0.367201072,0.108935956,k8s-master,714971
3709,0.576357143,0.170043574,0.376530018,0.13325801,k8s-worker3,715028
3710,0.284446429,0.085443939,0.386510367,0.116637823,k8s-master,715028
3711,0.576357143,0.170043574,0.364323745,0.135617358,k8s-worker3,715028
3712,0.281114583,0.085921289,0.374113326,0.133851467,k8s-master,715086
3713,0.576673611,0.171641248,0.372675621,0.113995195,k8s-worker3,715086
3714,0.576673611,0.171641248,0.365128336,0.119206633,k8s-worker3,715086
3715,0.585529762,0.173452638,0.380291028,0.121588172,k8s-worker3,715144
3716,0.585529762,0.173452638,0.388374281,0.140260712,k8s-worker3,715144
3717,0.282482143,0.088425872,0.387979954,0.133320516,k8s-master,715144
3718,0.478067708,0.123367634,0.365165234,0.124507073,k8s-worker3,715202
3719,0.29153125,0.089433282,0.345078974,0.124388127,k8s-master,715202
3720,0.478067708,0.123367634,0.345841894,0.122250737,k8s-worker3,715202
3721,0.2884375,0.090045417,0.35187,0.132050547,k8s-master,715258
